TransactionAmount,TransactionType,MerchantID,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,Channel_Branch,Channel_Online,CustomerOccupation_Engineer,CustomerOccupation_Retired,CustomerOccupation_Student,Location_Atlanta,Location_Austin,Location_Baltimore,Location_Boston,Location_Charlotte,Location_Chicago,Location_Colorado Springs,Location_Columbus,Location_Dallas,Location_Denver,Location_Detroit,Location_El Paso,Location_Fort Worth,Location_Fresno,Location_Houston,Location_Indianapolis,Location_Jacksonville,Location_Kansas City,Location_Las Vegas,Location_Los Angeles,Location_Louisville,Location_Memphis,Location_Mesa,Location_Miami,Location_Milwaukee,Location_Nashville,Location_New York,Location_Oklahoma City,Location_Omaha,Location_Philadelphia,Location_Phoenix,Location_Portland,Location_Raleigh,Location_Sacramento,Location_San Antonio,Location_San Diego,Location_San Francisco,Location_San Jose,Location_Seattle,Location_Tucson,Location_Virginia Beach,Location_Washington,TransactionYear,TransactionMonth,TransactionDay,TransactionHour,PrevTransactionYear,PrevTransactionMonth,PrevTransactionDay,PrevTransactionHour,Kelompok_CustomerAge,Kelompok_TransactionAmount,Kelompok_AccountBalance,Cluster
877.81,0,93,22,150,1,399.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,3,13,17,2024,11,4,8,Muda,Sangat Tinggi,Rendah,1
255.26,1,1,45,50,1,14815.87,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2023,10,27,16,2024,11,4,8,Paruh Baya,Tinggi,Sangat Tinggi,2
124.76,0,1,49,45,1,5764.72,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2023,10,16,16,2024,11,4,8,Paruh Baya,Sedang,Tinggi,0
78.13,0,27,26,145,1,900.61,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,11,21,16,2024,11,4,8,Dewasa,Rendah,Rendah,1
649.28,0,73,75,137,1,4875.86,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2023,3,2,17,2024,11,4,8,Lansia,Sangat Tinggi,Tinggi,0
795.31,0,47,66,90,2,7914.88,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,10,12,17,2024,11,4,8,Lansia,Sangat Tinggi,Sangat Tinggi,0
335.63,0,39,55,216,1,1019.39,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,1,24,17,2024,11,4,8,Paruh Baya,Tinggi,Rendah,1
328.47,0,13,63,119,1,4323.66,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2023,7,31,18,2024,11,4,8,Lansia,Tinggi,Sedang,0
34.02,0,45,38,19,1,14214.48,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2023,1,9,16,2024,11,4,8,Dewasa,Rendah,Sangat Tinggi,2
241.42,1,43,57,116,1,13357.02,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,4,20,18,2024,11,4,8,Lansia,Tinggi,Sangat Tinggi,2
55.32,0,8,19,117,1,241.79,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2023,4,12,16,2024,11,4,8,Muda,Rendah,Rendah,1
304.31,0,4,27,33,1,868.61,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,7,26,16,2024,11,4,8,Dewasa,Tinggi,Rendah,1
435.27,0,50,74,90,1,4673.28,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,10,4,17,2024,11,4,8,Lansia,Sangat Tinggi,Sedang,0
164.49,0,69,26,75,1,1509.27,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,12,13,16,2024,11,4,8,Dewasa,Sedang,Sedang,1
510.24,0,89,19,105,1,781.7,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,10,9,16,2024,11,4,8,Muda,Sangat Tinggi,Rendah,1
626.9,0,22,26,138,1,265.51,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,11,27,16,2024,11,4,8,Dewasa,Sangat Tinggi,Rendah,1
22.01,1,54,41,175,1,1335.09,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2023,3,27,16,2024,11,4,8,Paruh Baya,Rendah,Rendah,1
425.34,1,39,69,121,1,3907.54,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,2,13,16,2024,11,4,8,Lansia,Sangat Tinggi,Sedang,1
424.56,0,14,51,264,1,5183.85,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,2,21,17,2024,11,4,8,Paruh Baya,Sangat Tinggi,Tinggi,0
85.43,0,77,67,145,1,14904.9,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2023,6,7,16,2024,11,4,8,Lansia,Sedang,Sangat Tinggi,2
169.5,0,35,28,142,1,918.88,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2023,9,7,16,2024,11,4,8,Dewasa,Sedang,Rendah,1
104.63,0,94,62,90,1,4477.78,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,3,29,17,2024,11,4,8,Lansia,Sedang,Sedang,0
316.95,0,51,25,83,1,1324.03,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,8,4,17,2024,11,4,8,Muda,Tinggi,Rendah,1
60.54,1,94,57,52,1,3534.93,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,12,14,17,2024,11,4,8,Lansia,Rendah,Sedang,1
292.56,1,74,68,61,1,4638.37,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,3,3,17,2024,11,4,8,Lansia,Tinggi,Sedang,0
386.52,0,63,48,28,1,5630.61,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,6,9,16,2024,11,4,8,Paruh Baya,Tinggi,Tinggi,0
112.07,0,63,23,51,1,930.3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,10,2,16,2024,11,4,8,Muda,Sedang,Rendah,1
568.52,0,93,46,152,1,5499.91,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,10,6,18,2024,11,4,8,Paruh Baya,Sangat Tinggi,Tinggi,0
263.99,0,86,79,227,2,4175.02,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,5,16,16,2024,11,4,8,Lansia,Tinggi,Sedang,0
349.64,0,96,48,226,1,6651.62,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,11,7,16,2024,11,4,8,Paruh Baya,Tinggi,Tinggi,0
601.4,1,0,56,104,1,8458.29,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2023,5,30,17,2024,11,4,8,Lansia,Sangat Tinggi,Sangat Tinggi,0
5.77,0,70,50,124,1,13988.12,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,11,2,16,2024,11,4,8,Paruh Baya,Rendah,Sangat Tinggi,2
201.33,1,2,42,186,1,2585.07,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,3,29,17,2024,11,4,8,Paruh Baya,Sedang,Sedang,1
298.42,0,4,56,225,1,3014.75,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,4,25,16,2024,11,4,8,Lansia,Tinggi,Sedang,1
521.06,0,62,25,128,1,1951.42,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,4,18,18,2024,11,4,8,Muda,Sangat Tinggi,Sedang,1
117.28,1,56,60,16,1,3665.77,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,2,9,16,2024,11,4,8,Lansia,Sedang,Sedang,1
189.12,1,39,32,103,1,977.01,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,11,13,16,2024,11,4,8,Dewasa,Sedang,Rendah,1
133.55,0,90,44,220,1,3846.28,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,7,18,16,2024,11,4,8,Paruh Baya,Sedang,Sedang,1
143.21,0,65,35,135,1,6374.82,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,1,13,17,2024,11,4,8,Dewasa,Sedang,Tinggi,0
24.77,0,69,62,55,1,5866.01,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,7,4,18,2024,11,4,8,Lansia,Rendah,Tinggi,0
233.92,1,45,26,280,1,6537.62,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,10,20,16,2024,11,4,8,Dewasa,Tinggi,Tinggi,0
1212.51,0,35,20,24,1,605.95,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,10,4,16,2024,11,4,8,Muda,Sangat Tinggi,Rendah,1
232.12,0,65,37,51,1,6689.87,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,12,28,17,2024,11,4,8,Dewasa,Tinggi,Tinggi,0
162.63,0,59,22,113,1,634.17,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,6,12,17,2024,11,4,8,Muda,Sedang,Rendah,1
91.53,0,94,44,69,1,14676.05,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,3,13,16,2024,11,4,8,Paruh Baya,Sedang,Sangat Tinggi,2
120.29,0,44,19,77,1,1362.39,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,12,18,18,2024,11,4,8,Muda,Sedang,Rendah,1
174.25,0,31,50,67,1,10528.34,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2023,7,17,18,2024,11,4,8,Paruh Baya,Sedang,Sangat Tinggi,2
183.71,0,73,38,102,1,552.52,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,6,19,18,2024,11,4,8,Dewasa,Sedang,Rendah,1
345.39,1,80,58,80,1,6451.96,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2023,10,23,17,2024,11,4,8,Lansia,Tinggi,Tinggi,0
922.55,0,3,63,87,1,4715.84,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,1,23,16,2024,11,4,8,Lansia,Sangat Tinggi,Sedang,0
259.91,0,27,49,170,1,7176.86,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,11,6,16,2024,11,4,8,Paruh Baya,Tinggi,Tinggi,0
